,stock_code,date,open,close,low,high,adjust,volume,Current_Assets,Short_term_financial_investments,Cash_and_cash_equivalents,Short_term_receivables,Inventories,other_short_term_assets,Non_current_assets,long_term_receivable,Fixed_assets,Long_term_assets_in_progress,Liabilities,Current_liabilities,Short_term_borrowing,Long_term_liabilities,Owners_equity,Other_fund,Tỷ lệ ghi sổ FVTPL và AFS trên VCSH ,Tỷ lệ cho vay trên vốn chủ ,Tăng trưởng LN ròng 4 quý liền kề so với cùng kỳ năm trước,Tăng trưởng Doanh thu thuần 4 quý liền kề so với cùng kỳ năm trước,ROAE ,ROAA ,Tỷ lệ nợ vay trên vốn chủ ,Tăng trưởng Vốn chủ sở hữu so với đầu năm,sma,smma,ema,wma,rsi,macd,atr,bandwidth,hull,ichimoku_cline,ichimoku_bline,ichimoku_lsa,ichimoku_lsb,ichimoku_lgp,lsma,mom_osc,ao,momemtum,coppock,changes
20,VND,2016-10-31,12.9,12.6,12.6,13.0,1.4,221510,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.150000000000002,12.270188348516934,13.134215486022601,13.034285714285716,12.802857142857142,0.0,0.3955715313512285,0.039304839793863115,12.804761904761904,0.0,0.0,0.0,0.0,0.0,12.802857142857142,-77.19148936170212,0.0,-0.5999999999999996,0.0,-0.015625000000000083
21,VND,2016-11-01,12.6,12.5,12.5,12.7,1.39,99810,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.100000000000003,12.223557975105935,13.049653421219588,12.947619047619048,12.642857142857139,0.0,0.3816021362547121,0.04687935716511373,12.667619047619047,0.0,0.0,0.0,0.0,0.0,12.642857142857139,-100.0,0.0,-0.9000000000000004,0.0,-0.007936507936507908
22,VND,2016-11-02,12.6,12.3,12.1,12.6,1.36,291157,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.014285714285716,12.141174430349578,12.949699631723643,12.84095238095238,12.494285714285722,0.0,0.3900591265222327,0.053506290261049125,12.51604761904762,0.0,0.0,0.0,0.0,0.0,12.494285714285722,-100.0,0.0,-1.0999999999999996,0.0,-0.015999999999999945
23,VND,2016-11-03,12.3,12.2,12.0,12.4,1.35,280794,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.935714285714287,12.068487540689318,12.849739680827158,12.732380952380954,12.325714285714277,0.0,0.3907691889135018,0.06118007281928021,12.363238095238096,0.0,0.0,0.0,0.0,0.0,12.325714285714277,-100.0,0.0,-1.1000000000000014,0.0,-0.008130081300813123
24,VND,2016-11-04,12.0,12.1,12.0,12.3,1.34,151140,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.842857142857143,11.980822318522192,12.749774390050204,12.62095238095238,12.17714285714286,0.0,0.38428567541968034,0.06651798170289666,12.216095238095239,0.0,0.0,0.0,0.0,0.0,12.17714285714286,-100.0,0.0,-1.0999999999999996,-0.11878048571854614,-0.00819672131147538
25,VND,2016-11-07,12.0,12.2,11.7,12.3,1.35,149800,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.77142857142857,11.915655548676984,12.67647113804351,12.535238095238098,12.062857142857144,-0.5352057723604577,0.39969384146113185,0.06963929492739779,12.105476190476189,0.0,0.0,0.0,0.0,0.0,12.062857142857144,-78.3111111111111,0.0,-0.8000000000000007,-0.132083071016426,0.008264462809917326
26,VND,2016-11-08,12.3,12.3,12.2,12.4,1.36,72850,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.692857142857141,11.841738889380213,12.626274986304376,12.472380952380954,12.031428571428574,-0.519752243498516,0.38542999564247965,0.06670857180748421,12.053761904761902,0.0,0.0,0.0,0.0,0.0,12.031428571428574,-56.21090259159964,0.0,-0.5999999999999996,-0.14191610298915286,0.008196721311475526
27,VND,2016-11-09,12.3,12.0,11.6,12.3,1.33,307100,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.592857142857142,11.747018650758553,12.542771654797125,12.379999999999999,11.954285714285716,-0.5256532993075531,0.4078992816680169,0.0650593350377297,12.008571428571425,0.0,0.0,0.0,0.0,0.0,11.954285714285716,-55.85585585585585,0.0,-0.9000000000000004,-0.14458975652579126,-0.02439024390243908
28,VND,2016-11-10,12.0,12.2,12.0,12.5,1.35,1165700,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.514285714285714,11.675212953517246,12.497068767490841,12.327619047619049,11.95428571428571,-0.5083318666871968,0.41447790440601573,0.059140793821865795,12.002666666666665,0.0,0.0,0.0,0.0,0.0,11.95428571428571,-33.514492753623195,0.0,-0.6000000000000014,-0.15187207446572137,0.016666666666666607
29,VND,2016-11-11,12.3,12.1,12.0,12.3,1.34,709882,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.435714285714283,11.601770503320195,12.44412626515873,12.272380952380953,11.945714285714287,-0.4969451959255249,0.4063009112341575,0.05320407203634428,12.008095238095235,0.0,0.0,0.0,0.0,0.0,11.945714285714287,-33.21201091901729,0.0,-0.5,-0.15064129144316282,-0.00819672131147538
